isin,symbol,period_end,failed_seq_number,failed_consolidated,used_seq_number,used_consolidated,reason
INE039A01010,IFCI,2018-03-31,1046355,Consolidated,1061259,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE338I01027,MOTILALOFS,2018-03-31,1041420,Consolidated,1041414,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE153U01017,MAXINDIA,2018-03-31,1046187,Consolidated,1043431,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE041A01016,DHAMPURSUG,2019-03-31,1061110,Consolidated,1061108,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE602G01020,KITEX,2019-03-31,1061121,Consolidated,1061118,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE220G01021,JSL,2019-03-31,1061130,Consolidated,1061127,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE495S01016,HPL,2019-03-31,1061082,Consolidated,1061080,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE712K01011,SHREEPUSHK,2019-03-31,1061088,Consolidated,1061086,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE521J01018,CPCAP,2019-03-31,1061094,Consolidated,1061092,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE819L01012,ELGIRUBCO,2019-03-31,1061100,Consolidated,1061098,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE277B01014,PUNJABCHEM,2019-03-31,1060072,Consolidated,1060069,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE302H01017,GTNTEX,2019-03-31,1061183,Consolidated,1061180,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE780C01023,JMFINANCIL,2019-03-31,1060060,Consolidated,1060056,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE780C01023,JMFINANCIL,2018-03-31,1060061,Consolidated,1060057,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE471W01019,PALASHSECU,2019-03-31,1060086,Consolidated,1060084,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE908D01010,SHAKTIPUMP,2019-03-31,1060078,Consolidated,1060076,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE527H01019,UFO,2019-03-31,1061150,Consolidated,1061148,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE335W01016,GANGESSECU,2019-03-31,1060185,Consolidated,1060183,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE304A01026,MUKANDLTD,2019-03-31,1061060,Consolidated,1061057,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE236G01019,TVSELECT,2019-03-31,1060158,Consolidated,1060154,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE269B01029,LMW,2019-03-31,1061036,Consolidated,1061033,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE545A01016,HEG,2019-03-31,1061029,Consolidated,1061026,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE360L01017,FMNL,2019-03-31,1061200,Consolidated,1061197,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE860A01027,HCLTECH,2019-03-31,1059930,Consolidated,1059928,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE266F01018,APTECHT,2019-03-31,1061313,Consolidated,1061311,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE283A01014,PRECOT,2019-03-31,1061322,Consolidated,1061319,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE215F01023,WIPL,2019-03-31,1061327,Consolidated,1061324,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE645H01019,SUTLEJTEX,2019-03-31,1059912,Consolidated,1059909,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE923A01015,SILINV,2019-03-31,1059934,Consolidated,1059932,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE435G01025,DHANUKA,2019-03-31,1061251,Consolidated,1061249,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE343H01011,SOLARINDS,2019-03-31,1059944,Consolidated,1059942,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE567A01010,NIPPOBATRY,2019-03-31,1061284,Consolidated,1061281,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE915K01010,AHLWEST,2019-03-31,1061245,Consolidated,1061242,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE947A01014,SUNFLAG,2019-03-31,1061349,Consolidated,1061346,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE526E01018,SHRIPISTON,2019-03-31,1060035,Consolidated,1060032,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE321D01016,OCCL,2019-03-31,1060030,Consolidated,1060027,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE399K01017,RTNPOWER,2019-03-31,1061211,Consolidated,1061208,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE335A01012,SURYAROSNI,2018-03-31,1061217,Consolidated,1040985,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE335A01012,SURYAROSNI,2019-03-31,1061216,Consolidated,1061213,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE141K01013,TEXMOPIPES,2019-03-31,1061228,Consolidated,1061225,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE051B01021,VAKRANGEE,2019-03-31,1060002,Consolidated,1060000,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE955V01021,ARVINDFASN,2019-03-31,1060636,Consolidated,1060634,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE142I01023,TAKE,2019-03-31,1060614,Consolidated,1060612,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE345A01011,HINDOILEXP,2019-03-31,1060380,Consolidated,1060377,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE034A01011,ARVIND,2019-03-31,1060718,Consolidated,1060716,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE425Y01011,RPSGVENT,2019-03-31,1060741,Consolidated,1060737,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE425Y01011,RPSGVENT,2018-03-31,1060742,Consolidated,1060738,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE645L01011,JUBLINDS,2019-03-31,1060700,Consolidated,1060698,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE298G01027,AJMERA,2019-03-31,1060688,Consolidated,1060686,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE934S01014,GNA,2019-03-31,1060429,Consolidated,1060426,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE757A01017,COSMOFIRST,2019-03-31,1060522,Consolidated,1060520,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE797F01012,JUBLFOOD,2019-03-31,1060393,Consolidated,1060390,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE794A01010,NEULANDLAB,2019-03-31,1060600,Consolidated,1060597,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE074A01025,PRAJIND,2019-03-31,1060577,Consolidated,1060575,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE517F01014,GPPL,2019-03-31,1060573,Consolidated,1060570,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE162B01018,LUMAXIND,2019-03-31,1060410,Consolidated,1060408,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
INE221J01015,SHARDACROP,2019-03-31,1060321,Consolidated,1060319,Non-Consolidated,Consolidated variant confirmed dead; Non-Consolidated variant live
